Game	Song	Link	Articuno2001	AshsBallistics	Ayvuir	azuarc	Celtic Guardian 7	Chinballz	dowolf	Drakeryn	Ed Bellis (tc)	Eddv	FFDragon	FL81	foolm0r0n	Gatarix	GenesisTwilight	greengravy294	Haguile	homsar555	ImTheMacheteGuy	IngmarBirdman	Jeff Zero	JONALEON1	Justin_Crossing	KamikazePotato	kaonashi1	Kaxon	KCF0107	Kenri	KingKracko	Kirbydamasta	KokoroAkechi	Legendary Kapik	LeonhartFone	LeonhartFour	Lightning Strikes	lobsterfest	Lopen	Luis_Sera89	Mac Arrowny	Master Epyon	Mega Mana	MycroProcessor	MysteriousHost	NioraptH	Paratroopa1	PerfectZer0	Prody Parrot	Regaro_Ukiera	SebVettel	Snake5555555555	sonten1	SubDeity	Super Sonic 5	superange128	swordz9	tazzyboyishere	Team Rocket Elite	th3l3fty	The Mana Sword	TheArkOfTurus	TheKnightOfNee	todbot1	ToukaOone	TsunamiXXVIII	WaIker	XIII_rocks	xp1337	Xuxon	xx521xx	X_Dante_X	Ytterbium_70	ZenOfThunder	ZFS	_Harmonica_	
Atelier Rorona: The Alchemist of Arland	Cyclone	http://www.youtube.com/watch?v=g76BQx3dWRg	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mana Khemia: The Alchemists of Al-Revis	Nefertiti	http://www.youtube.com/watch?v=DPO2XhA5F3Q	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mother	All That I Needed Was You	http://www.youtube.com/watch?v=ebu38NZ7q0U	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Radiant Historia	Blue Radiance	http://www.youtube.com/watch?v=yV11xnqetxo	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ys I & II Chronicles	Shrine of Solomon	http://www.youtube.com/watch?v=4pzz7buCRyM	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrono Trigger	Battle with Magus	http://www.youtube.com/watch?v=3PAHwO_GsrQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Final Fantasy VI	Terra	http://www.youtube.com/watch?v=W7RPY-oiDAQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	
Ghost Trick: Phantom Detective	Epilogue ~ The End of the "Night"	http://www.youtube.com/watch?v=AA0-F5j_Dag	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Killer7	Rave On	http://www.youtube.com/watch?v=BuYVfNeX-lY	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Lufia II: Rise of the Sinistrals	The Last Duel	http://www.youtube.com/watch?v=lsIXvHteoK0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
